Match_id,Team1,Team2,Venue,Toss_winner,Toss_decision,Winner,Players_1,Players_2,Players_3,Players_4,Players_5,Players_6,Players_7,Players_8,Players_9,Players_10,Players_11
1077949,West Indies,Pakistan,Providence Stadium,West Indies,field,West Indies,Tamim Iqbal,Soumya Sarkar,Shakib Al Hasan,Mushfiqur Rahim,Mohammad Mithun,Mahmudullah,Mosaddek Hossain,Mehedi Hasan Miraz,Mustafizur Rahman,Mohammad Saifuddin,Mashrafe Mortaza
1077950,West Indies,Pakistan,Providence Stadium,West Indies,field,Pakistan,Imam-ul-Haq,Fakhar Zaman,Babar Azam,Mohammad Hafeez,Sarfraz Ahmed,Asif Ali,Shoaib Malik,Wahab Riaz,Hasan Ali,Shadab Khan,Mohammad Amir
1077951,West Indies,Pakistan,Providence Stadium,West Indies,bat,Pakistan,HM Amla,Q de Kock,F du Plessis,HE van der Dussen,DA Miller,JP Duminy,AL Phehlukwayo,CH Morris,K Rabada,Imran Tahir,T Shamsi
1083446,Sri Lanka,Bangladesh,Rangiri Dambulla International Stadium,Sri Lanka,field,Bangladesh,Tamim Iqbal,Soumya Sarkar,Shakib Al Hasan,Mushfiqur Rahim,Mohammad Mithun,Mahmudullah,Mosaddek Hossain,Mohammad Saifuddin,Mehedi Hasan Miraz,Mashrafe Mortaza,Mustafizur Rahman
1083447,Sri Lanka,Bangladesh,Rangiri Dambulla International Stadium,Sri Lanka,bat,draw,DA Warner,AJ Finch,UT Khawaja,SPD Smith,GJ Maxwell,MP Stoinis,AT Carey,NM Coulter-Nile,PJ Cummins,MA Starc,A Zampa
1083448,Sri Lanka,Bangladesh,Sinhalese Sports Club Ground,Bangladesh,field,Sri Lanka,JJ Roy,JM Bairstow,JE Root,JC Buttler,EJG Morgan,BA Stokes,CR Woakes,LE Plunkett,JC Archer,MA Wood,AU Rashid
1098206,West Indies,India,"""Queen's Park Oval",West Indies,field,draw,AJ Finch,DA Warner,SPD Smith,GJ Maxwell,SE Marsh,UT Khawaja,AT Carey,NM Coulter-Nile,PJ Cummins,MA Starc,KW Richardson
1098207,West Indies,India,"""Queen's Park Oval",West Indies,field,India,CH Gayle,E Lewis,SD Hope,N Pooran,SO Hetmyer,JO Holder,AD Russell,CR Brathwaite,SS Cottrell,O Thomas,ST Gabriel
1098208,West Indies,India,"""Sir Vivian Richards Stadium",West Indies,field,India,DA Warner,AJ Finch,UT Khawaja,SPD Smith,GJ Maxwell,SE Marsh,AT Carey,PJ Cummins,MA Starc,JP Behrendorff,KW Richardson
1098209,West Indies,India,"""Sir Vivian Richards Stadium",West Indies,bat,West Indies,Q de Kock,HM Amla,F du Plessis,AK Markram,HE van der Dussen,DA Miller,AL Phehlukwayo,CH Morris,K Rabada,L Ngidi,Imran Tahir
1098210,West Indies,India,"""Sabina Park",West Indies,bat,India,DA Warner,AJ Finch,UT Khawaja,GJ Maxwell,MP Stoinis,SPD Smith,AT Carey,MA Starc,PJ Cummins,NM Coulter-Nile,A Zampa
1144483,England,South Africa,Kennington Oval,South Africa,field,England,FDM Karunaratne,MDKJ Perera,WIA Fernando,BKG Mendis,AD Mathews,BMAJ Mendis,DM de Silva,NLTC Perera,I Udana,SL Malinga,N Pradeep
1144484,Pakistan,West Indies,Trent Bridge,West Indies,field,West Indies,MJ Guptill,KS Williamson,C Munro,LRPL Taylor,TWM Latham,JDS Neesham,C de Grandhomme,MJ Santner,MJ Henry,TA Boult,LH Ferguson
1144485,New Zealand,Sri Lanka,Sophia Gardens,New Zealand,field,New Zealand,Imam-ul-Haq,Fakhar Zaman,Babar Azam,Mohammad Hafeez,Haris Sohail,Imad Wasim,Wahab Riaz,Sarfraz Ahmed,Shadab Khan,Mohammad Amir,Shaheen Shah Afridi
1144487,Bangladesh,South Africa,Kennington Oval,South Africa,field,Bangladesh,AJ Finch,DA Warner,UT Khawaja,SPD Smith,GJ Maxwell,MP Stoinis,AT Carey,PJ Cummins,MA Starc,JP Behrendorff,NM Lyon
1144488,England,Pakistan,Trent Bridge,England,field,Pakistan,KL Rahul,RG Sharma,V Kohli,V Shankar,KM Jadhav,MS Dhoni,HH Pandya,Mohammed Shami,Kuldeep Yadav,JJ Bumrah,YS Chahal
1144490,India,South Africa,The Rose Bowl,South Africa,bat,India,FDM Karunaratne,WIA Fernando,MDKJ Perera,BKG Mendis,AD Mathews,DM de Silva,BMAJ Mendis,NLTC Perera,I Udana,RAS Lakmal,SL Malinga
1144491,Bangladesh,New Zealand,Kennington Oval,New Zealand,field,New Zealand,DA Warner,AJ Finch,UT Khawaja,SPD Smith,MP Stoinis,GJ Maxwell,AT Carey,PJ Cummins,MA Starc,JP Behrendorff,NM Lyon
1144492,Australia,West Indies,Trent Bridge,West Indies,field,Australia,JJ Roy,JM Bairstow,JE Root,EJG Morgan,BA Stokes,JC Buttler,CR Woakes,LE Plunkett,JC Archer,MA Wood,AU Rashid
1144494,England,Bangladesh,Sophia Gardens,Bangladesh,field,England,FDM Karunaratne,MDKJ Perera,WIA Fernando,BKG Mendis,AD Mathews,HDRL Thirimanne,I Udana,DM de Silva,SL Malinga,CAK Rajitha,JDF Vandersay
1144499,Australia,Pakistan,The Cooper Associates County Ground,Pakistan,field,Australia,JJ Roy,JM Bairstow,JE Root,JC Buttler,EJG Morgan,BA Stokes,CR Woakes,LE Plunkett,AU Rashid,JC Archer,MA Wood
1144501,England,West Indies,The Rose Bowl,England,field,England,Fakhar Zaman,Imam-ul-Haq,Babar Azam,Mohammad Hafeez,Haris Sohail,Imad Wasim,Sarfraz Ahmed,Wahab Riaz,Shadab Khan,Mohammad Amir,Shaheen Shah Afridi
1144502,Australia,Sri Lanka,Kennington Oval,Sri Lanka,field,Australia,AK Markram,Q de Kock,F du Plessis,HE van der Dussen,JP Duminy,D Pretorius,AL Phehlukwayo,Imran Tahir,K Rabada,CH Morris,T Shamsi
1144507,New Zealand,South Africa,Edgbaston,New Zealand,field,New Zealand,DA Warner,AJ Finch,SPD Smith,PSP Handscomb,AT Carey,MP Stoinis,GJ Maxwell,PJ Cummins,MA Starc,NM Lyon,JP Behrendorff
